EXP_FOLDER,B,n_i,phi_true,seed,method,Beta,Beta_vec,Phi,Sigmasq,Tausq,ELBO,tau_selected,results_path
vary_B2,49,6,2,11,GPArealModel,8.30535984,,0.436353931,2.901334388,3.568072683,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_11.pt
vary_B2,49,6,2,11,GPmodel,7.988132,,0.72406078,2.338350068,1.332500935,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_11.pt
vary_B2,49,6,2,11,VI_best_tau_by_ELBO,8.382143974,,0.262184978,1.964371803,2.611254014,-662.35802,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_11.pt
vary_B2,49,6,2,12,GPArealModel,7.78463459,,0.266869324,6.880674325,0.984736498,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_12.pt
vary_B2,49,6,2,12,GPmodel,8.005237579,,0.32190186,4.271576552,1.055585023,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_12.pt
vary_B2,49,6,2,12,VI_best_tau_by_ELBO,8.230549812,,0.262218237,3.804752838,2.010991216,-669.1863281,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_12.pt
vary_B2,49,6,2,13,GPArealModel,7.481413841,,0.45834029,5.2563886,2.14532322,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_13.pt
vary_B2,49,6,2,13,GPmodel,7.909404278,,0.620607665,2.977487876,1.397035461,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_13.pt
vary_B2,49,6,2,13,VI_best_tau_by_ELBO,8.081613541,,0.262611836,3.601325712,2.539009235,-679.6668335,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_13.pt
vary_B2,49,6,2,14,GPArealModel,8.226574898,,0.53284052,3.665716692,0.997369192,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_14.pt
vary_B2,49,6,2,14,GPmodel,7.96808815,,0.55370081,2.735833083,1.248940041,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_14.pt
vary_B2,49,6,2,14,VI_best_tau_by_ELBO,8.270599365,,0.262527525,2.382966446,2.500946442,-664.6373901,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_14.pt
vary_B2,49,6,2,15,GPArealModel,8.087695122,,0.325271974,4.738299744,1.641395098,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_15.pt
vary_B2,49,6,2,15,GPmodel,7.901553154,,0.597246019,2.490515785,1.238148958,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_15.pt
vary_B2,49,6,2,15,VI_best_tau_by_ELBO,8.125555992,,0.262008816,2.536523128,2.300902777,-658.6602173,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_15.pt
vary_B2,49,6,2,16,GPArealModel,8.518096924,,0.40849296,5.190418586,1.21119453,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_16.pt
vary_B2,49,6,2,16,GPmodel,7.959953785,,0.525118669,3.43622488,0.902478677,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_16.pt
vary_B2,49,6,2,16,VI_best_tau_by_ELBO,8.484235764,,0.262218207,3.036782684,2.223150839,-660.7828491,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_16.pt
vary_B2,49,6,2,17,GPArealModel,8.070465088,,0.692926509,2.704297815,2.455137309,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_17.pt
vary_B2,49,6,2,17,GPmodel,7.970537186,,0.788722134,2.138811817,0.846999464,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_17.pt
vary_B2,49,6,2,17,VI_best_tau_by_ELBO,8.105421066,,0.262800574,2.16606772,2.148134204,-642.6930542,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_17.pt
vary_B2,49,6,2,18,GPArealModel,7.901621819,,0.676744966,4.788197344,1.379879055,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_18.pt
vary_B2,49,6,2,18,GPmodel,8.036919594,,0.554800839,3.252824922,1.294027158,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_18.pt
vary_B2,49,6,2,18,VI_best_tau_by_ELBO,8.326181412,,0.262483358,3.207245813,2.691236388,-681.2564941,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_18.pt
vary_B2,49,6,2,19,GPArealModel,7.832901955,,0.331760309,4.274483102,1.101921786,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_19.pt
vary_B2,49,6,2,19,GPmodel,7.922335625,,0.545108514,2.13011569,1.062051596,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_19.pt
vary_B2,49,6,2,19,VI_best_tau_by_ELBO,8.14794445,,0.261983901,2.322862901,1.997656016,-639.2844482,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_19.pt
vary_B2,49,6,2,20,GPArealModel,7.335992813,,0.605308291,3.143364842,0.660323893,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_20.pt
vary_B2,49,6,2,20,GPmodel,7.930804729,,0.896466646,1.965241018,1.245953759,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_20.pt
vary_B2,49,6,2,20,VI_best_tau_by_ELBO,8.087166786,,0.262200952,1.823761174,2.580252457,-657.1823486,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_20.pt
vary_B2,49,6,2,21,GPArealModel,8.274618149,,0.909774091,2.045354462,1.288966859,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_21.pt
vary_B2,49,6,2,21,GPmodel,8.040122986,,0.827594625,1.698875654,0.985185595,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_21.pt
vary_B2,49,6,2,21,VI_best_tau_by_ELBO,8.289560318,,0.262556881,1.369768857,2.205517068,-630.7998413,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_21.pt
vary_B2,49,6,2,22,GPArealModel,8.348539352,,1.275866438,3.143479508,1.785583784,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_22.pt
vary_B2,49,6,2,22,GPmodel,8.036627769,,0.740565284,2.613220552,1.097074654,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_22.pt
vary_B2,49,6,2,22,VI_best_tau_by_ELBO,8.420737267,,0.262593031,2.331106407,2.546315281,-661.2873657,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_22.pt
vary_B2,49,6,2,23,GPArealModel,7.507721424,,1.203869813,2.902508495,1.159474974,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_23.pt
vary_B2,49,6,2,23,GPmodel,7.890585423,,1.511768322,1.657518035,1.5092079,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_23.pt
