EXP_FOLDER,B,n_i,phi_true,seed,method,Beta,Beta_vec,Phi,Sigmasq,Tausq,ELBO,tau_selected,Sigmasq_phi
vary_B2,49,6,2.0,18,GPmodel,8.036919593811035,,1.8024486068720043,3.2528249222472643,1.2940271581960934,,,1.804669997161397
vary_B2,49,6,2.0,18,GPArealModel,7.9016218185424805,,1.4776615275117615,4.788197343629807,1.3798790554880696,,,3.240388447882693
vary_B2,49,6,2.0,18,VI_best_tau_by_ELBO,8.326181411743164,,0.2624833583831787,3.207245813013347,2.691236387614434,-681.4575134277344,0.3,0.8418486521601318
vary_B2,49,6,2.0,19,GPmodel,7.922335624694824,,1.834497122441156,2.1301156902043386,1.0620515959955228,,,1.161144198127607
vary_B2,49,6,2.0,19,GPArealModel,7.832901954650879,,3.014224349131883,4.2744831017727885,1.1019217855411954,,,1.4181038325842827
vary_B2,49,6,2.0,19,VI_best_tau_by_ELBO,8.147944450378418,,0.2619839012622833,2.322862900584467,1.9976560160527892,-639.49736328125,0.3,0.6085526847925421
vary_B2,49,6,2.0,2,GPmodel,7.87849760055542,,2.3584491707263027,3.268677726350655,1.0033063358546561,,,1.3859436815184956
vary_B2,49,6,2.0,2,GPArealModel,7.920609951019287,,3.7135648364511504,5.244218272286124,1.326644266984523,,,1.4121789986835762
vary_B2,49,6,2.0,2,VI_best_tau_by_ELBO,8.118932723999023,,0.2621467411518097,2.816028843017411,2.0999270836675437,-657.31259765625,0.3,0.7382127841865154
vary_B2,49,6,2.0,20,GPmodel,7.93080472946167,,1.115490469334092,1.965241018326302,1.2459537593709105,,,1.7617730248286936
vary_B2,49,6,2.0,20,GPArealModel,7.335992813110352,,1.6520507233047739,3.1433648417867976,0.6603238932502514,,,1.9027048004305755
vary_B2,49,6,2.0,20,VI_best_tau_by_ELBO,8.087166786193848,,0.2622009515762329,1.8237611743214195,2.5802524574483447,-657.3769836425781,0.3,0.47819191535486416
vary_B2,49,6,2.0,21,GPmodel,8.040122985839844,,1.2083210424908797,1.698875654236832,0.9851855952163096,,,1.4059803599337342
vary_B2,49,6,2.0,21,GPArealModel,8.274618148803711,,1.0991739703767163,2.0453544619062725,1.288966858636719,,,1.860810496818147
vary_B2,49,6,2.0,21,VI_best_tau_by_ELBO,8.289560317993164,,0.26255688071250916,1.3697688568136124,2.2055170684542906,-630.9751708984375,0.3,0.35964223834212167
vary_B2,49,6,2.0,22,GPmodel,8.036627769470215,,1.3503198454320002,2.613220552430878,1.0970746542920407,,,1.9352604209077926
vary_B2,49,6,2.0,22,GPArealModel,8.348539352416992,,0.7837811000335881,3.143479507674792,1.7855837844472264,,,4.010660001293832
vary_B2,49,6,2.0,22,VI_best_tau_by_ELBO,8.420737266540527,,0.26259303092956543,2.331106406544105,2.5463152812981265,-661.4870544433594,0.3,0.6121322967137444
vary_B2,49,6,2.0,23,GPmodel,7.890585422515869,,0.661477016847309,1.6575180350137282,1.5092078998147729,,,2.505783258976538
vary_B2,49,6,2.0,23,GPArealModel,7.507721424102783,,0.8306546014739287,2.9025084946486577,1.159474973790301,,,3.4942423595780894
vary_B2,49,6,2.0,23,VI_best_tau_by_ELBO,8.01908016204834,,0.26220422983169556,1.6062352822138626,2.498315162319259,-649.9701110839844,0.3,0.421161685101382
vary_B2,49,6,2.0,24,GPmodel,8.037054061889648,,2.238304501653729,4.090220578775017,1.154332164915235,,,1.8273745041181995
vary_B2,49,6,2.0,24,GPArealModel,8.350799560546875,,2.0184695779724002,4.821706281793812,2.241454604110498,,,2.3887931403144202
vary_B2,49,6,2.0,24,VI_best_tau_by_ELBO,8.422999382019043,,0.262722909450531,3.6333543384507614,2.4779939227198837,-682.1381958007812,0.3,0.9545654228624934
vary_B2,49,6,2.0,25,GPmodel,7.993151664733887,,2.2666136994622077,2.869698828795049,0.9812060240725274,,,1.2660731863907526
vary_B2,49,6,2.0,25,GPArealModel,8.495223045349121,,4.315741650149825,3.665072629372378,2.623412756438053,,,0.8492335562405924
vary_B2,49,6,2.0,25,VI_best_tau_by_ELBO,8.477042198181152,,0.261825829744339,1.8958816684981392,2.073166447090499,-639.5498779296875,0.3,0.49639079095160715
vary_B2,49,6,2.0,26,GPmodel,7.9632792472839355,,3.3863399897228175,4.71739572932872,1.0050514811853066,,,1.3930661846257362
vary_B2,49,6,2.0,26,GPArealModel,8.533292770385742,,5.520415771661876,7.898151103373854,1.52374128896872,,,1.430716712302302
vary_B2,49,6,2.0,26,VI_best_tau_by_ELBO,8.295760154724121,,0.2614513337612152,3.3850598971701746,2.0583053682863834,-666.823876953125,0.3,0.8850284249767442
vary_B2,49,6,2.0,27,GPmodel,8.007781028747559,,1.5993738056747775,2.0569860558677764,0.8132265006574368,,,1.2861196354281492
vary_B2,49,6,2.0,27,GPArealModel,8.350028038024902,,1.9959577733056348,3.8410048044879948,0.8109120353808728,,,1.9243918162289866
vary_B2,49,6,2.0,27,VI_best_tau_by_ELBO,8.177055358886719,,0.2624872326850891,2.378075904506759,1.8453515775394636,-629.9072937011719,0.3,0.6242145632890694
vary_B2,49,6,2.0,28,GPmodel,7.959469318389893,,1.3991025376096893,2.1818802624442846,0.9041784059776118,,,1.5594856015141962
vary_B2,49,6,2.0,28,GPArealModel,7.519942283630371,,1.5260810703926122,2.969557289404932,0.63366840737738,,,1.9458712561325193
vary_B2,49,6,2.0,28,VI_best_tau_by_ELBO,8.045905113220215,,0.2625551223754883,2.4323646080648955,2.1286641564130946,-645.1030639648437,0.3,0.6386297873322853
vary_B2,49,6,2.0,29,GPmodel,7.996258735656738,,3.065276602122765,4.765105081362618,1.1542281730208577,,,1.5545432598358948
vary_B2,49,6,2.0,29,GPArealModel,8.024543762207031,,4.156267390967127,5.625449648121493,2.5493569302000174,,,1.3534859812791065
vary_B2,49,6,2.0,29,VI_best_tau_by_ELBO,8.280464172363281,,0.2626795470714569,4.770274700814938,1.8833205832103441,-673.7450073242187,0.3,1.2530535978164976
vary_B2,49,6,2.0,3,GPmodel,7.733549118041992,,1.6183276118391214,2.92552144990267,0.8971494199020217,,,1.8077436413372507
vary_B2,49,6,2.0,3,GPArealModel,7.685615539550781,,1.640226290695628,4.141344558988413,1.3913552158505849,,,2.5248617111435574
vary_B2,49,6,2.0,3,VI_best_tau_by_ELBO,7.9018659591674805,,0.26257479190826416,3.0045902949339065,2.262417207753144,-658.7206237792968,0.3,0.7889296714618605
vary_B2,49,6,2.0,30,GPmodel,7.905383586883545,,1.3687055689364909,2.190330599668557,1.079855306508963,,,1.6002934812126786
vary_B2,49,6,2.0,30,GPArealModel,7.619551658630371,,1.3167983364359956,3.550610803717593,0.9855498715744347,,,2.696396787170588
vary_B2,49,6,2.0,30,VI_best_tau_by_ELBO,8.121979713439941,,0.26247310638427734,2.409804786092039,2.267068161856712,-651.5034606933593,0.3,0.6325089479852765
vary_B2,49,6,2.0,31,GPmodel,7.9661993980407715,,0.8934174003854183,1.3837364435683512,1.0491209295370907,,,1.5488129545847333
vary_B2,49,6,2.0,31,GPArealModel,8.143547058105469,,0.8275783837231496,2.389806838717675,1.2641628469479678,,,2.8877105609819056
vary_B2,49,6,2.0,31,VI_best_tau_by_ELBO,8.218558311462402,,0.262428879737854,1.4327977863914914,2.0808624748005435,-625.0714050292969,0.3,0.3760075179735961
vary_B2,49,6,2.0,32,GPmodel,7.850864887237549,,2.6631121128464783,4.26568649221845,1.0601287511011366,,,1.60176752290727
vary_B2,49,6,2.0,32,GPArealModel,7.467215538024902,,3.5550417729332926,7.868201375771701,0.7968017453748847,,,2.213251454786588
vary_B2,49,6,2.0,32,VI_best_tau_by_ELBO,8.13225269317627,,0.26205435395240784,4.113909064050736,2.082519322368562,-671.4990173339844,0.3,1.0780677819987703
vary_B2,49,6,2.0,33,GPmodel,7.968324184417725,,2.5407195142995103,4.494333550703637,1.1618283633572584,,,1.768921569425088
vary_B2,49,6,2.0,33,GPArealModel,8.306509971618652,,4.279179219157341,7.713290717628939,2.7618552292783276,,,1.802516399195789
vary_B2,49,6,2.0,33,VI_best_tau_by_ELBO,8.187322616577148,,0.26181283593177795,3.908912820574521,2.3351831455739864,-681.8169494628906,0.3,1.0234035509647006
vary_B2,49,6,2.0,34,GPmodel,7.931775093078613,,1.8137142048245531,2.922416788140399,1.0114796998794489,,,1.61128847112001
vary_B2,49,6,2.0,34,GPArealModel,8.313472747802734,,2.104484972088185,4.2029407511094865,0.8645846686050092,,,1.9971350743070877
vary_B2,49,6,2.0,34,VI_best_tau_by_ELBO,8.307835578918457,,0.2628183364868164,3.319495146932217,2.033460592260759,-657.8098022460938,0.3,0.8724241924927855
vary_B2,49,6,2.0,35,GPmodel,7.947581768035889,,2.314173530539584,3.349200822520014,0.9814770271952777,,,1.4472556955307918
vary_B2,49,6,2.0,35,GPArealModel,7.272215366363525,,3.120333633636288,5.106601185344041,0.8437374568353959,,,1.6365561458865703
vary_B2,49,6,2.0,35,VI_best_tau_by_ELBO,8.054344177246094,,0.2622894048690796,2.910320848573323,2.1552672963857162,-660.5185424804688,0.3,0.7633463233503717
vary_B2,49,6,2.0,36,GPmodel,7.94643497467041,,1.6539802837243907,2.4719125510510715,0.9599023393499223,,,1.4945235897763434
vary_B2,49,6,2.0,36,GPArealModel,7.6093339920043945,,2.133857450962323,3.868822570263279,1.2144330907587595,,,1.8130651457146423
vary_B2,49,6,2.0,36,VI_best_tau_by_ELBO,8.017833709716797,,0.2622723877429962,2.4926523865289187,2.1477926830001928,-650.6146667480468,0.3,0.6537538932282174
vary_B2,49,6,2.0,37,GPmodel,7.912232398986816,,2.013794694057554,3.335325161174052,0.935336579084661,,,1.656238925952165
vary_B2,49,6,2.0,37,GPArealModel,7.463987827301025,,1.8888225863874943,4.743845288672839,0.7460965494756735,,,2.5115356639957254
vary_B2,49,6,2.0,37,VI_best_tau_by_ELBO,8.09041976928711,,0.26303261518478394,3.9990493387983403,2.0602210199563658,-663.1561401367187,0.3,1.0518804058371085
vary_B2,49,6,2.0,38,GPmodel,7.951111316680908,,1.7222511942334875,3.0765067894868365,1.282367807063853,,,1.7863287305520374
vary_B2,49,6,2.0,38,GPArealModel,7.735944747924805,,1.9990073560536794,5.784502654842203,1.2622735220331525,,,2.8936875281247696
vary_B2,49,6,2.0,38,VI_best_tau_by_ELBO,8.108753204345703,,0.26238909363746643,3.5896609369652634,2.555070129018545,-681.8618286132812,0.3,0.941887879716134
vary_B2,49,6,2.0,39,GPmodel,7.90959358215332,,2.3338241588583415,3.560209455161983,0.8549795165067607,,,1.525483161037961
vary_B2,49,6,2.0,39,GPArealModel,7.313007354736328,,3.0716757451900114,5.738686839633922,1.0095034688344637,,,1.868259320216409
vary_B2,49,6,2.0,39,VI_best_tau_by_ELBO,7.9527130126953125,,0.2622178792953491,3.6847095110904347,1.9772731564291368,-657.0452453613282,0.3,0.9661967138175365
vary_B2,49,6,2.0,4,GPmodel,8.030669212341309,,2.1346144799054523,3.6674759889886843,1.0795433773620795,,,1.7180975878844065
vary_B2,49,6,2.0,4,GPArealModel,8.396634101867676,,2.3899304829502546,4.662007897851932,0.9742670803109337,,,1.9506876585367903
vary_B2,49,6,2.0,4,VI_best_tau_by_ELBO,8.311454772949219,,0.2626378536224365,3.2401243780346296,2.353094311139096,-672.1565551757812,0.3,0.8509793121167473
vary_B2,49,6,2.0,40,GPmodel,7.972046375274658,,1.3956361052787674,2.03160319094215,0.9850880909276295,,,1.4556825975323655
vary_B2,49,6,2.0,40,GPArealModel,8.255967140197754,,1.4662566149022829,2.790782457355134,1.7693002304149303,,,1.9033383576865384
vary_B2,49,6,2.0,40,VI_best_tau_by_ELBO,8.36234188079834,,0.26248642802238464,1.8941276910613452,2.1544981949301634,-639.7507568359375,0.3,0.49718281184497937
vary_B2,49,6,2.0,41,GPmodel,7.983635902404785,,0.9505714408739068,1.8615041786150959,1.2733626929646418,,,1.9583001325010607
vary_B2,49,6,2.0,41,GPArealModel,8.25537395477295,,0.9500783143255256,2.7015939377131453,1.3274235343918144,,,2.8435486811748207
vary_B2,49,6,2.0,41,VI_best_tau_by_ELBO,8.33698558807373,,0.26260054111480713,1.6997834609682474,2.462692730725424,-650.8476989746093,0.3,0.4463640566282614
vary_B2,49,6,2.0,42,GPmodel,7.850013732910156,,1.6235059336354964,2.4986557511597787,1.1367052402058493,,,1.5390493495546211
