EXP_FOLDER,B,n_i,phi_true,seed,method,Beta,Beta_vec,Phi,Sigmasq,Tausq,ELBO,tau_selected,Sigmasq_phi,results_path,n_correct_perm_s,n_correct_perm_x
vary_B2_annealed,49,6,2.0,8,GPArealModel,2.0331881046295166,,0.7690601783658084,4.037155487101543,0.07025226178634451,,,5.249466297527167,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_8.pt,,
vary_B2_annealed,49,6,2.0,8,GPmodel,2.008391857147217,,0.6972274907781025,3.6510093096936003,0.360518697475229,,,5.2364678071128425,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_8.pt,,
vary_B2_annealed,49,6,2.0,8,VI_best_tau_by_ELBO,1.9086991548538208,,0.26282331347465515,5.751577138411191,1.2786744083140829,-583.4100952148438,0.9,,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_8.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,9,GPArealModel,1.7199513912200928,,0.3465024205366131,5.855949777962985,0.3711940395572187,,,16.900169900383762,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_9.pt,,
vary_B2_annealed,49,6,2.0,9,GPmodel,2.017514228820801,,0.41520660997814945,5.709239426173056,0.5167638680031124,,,13.750357747131021,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_9.pt,,
vary_B2_annealed,49,6,2.0,9,VI_best_tau_by_ELBO,1.9352611303329468,,0.2618493139743805,5.542932571734899,1.4812261123187245,-601.5769897460938,0.9,,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_9.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,10,GPArealModel,1.9970840215682983,,0.21619961614885103,10.237614564163446,1.843590041759627,,,47.35260287009466,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_10.pt,,
vary_B2_annealed,49,6,2.0,10,GPmodel,1.97061026096344,,0.26033622084083896,8.777083478144025,0.4709923835857628,,,33.71441534257366,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_10.pt,,
vary_B2_annealed,49,6,2.0,10,VI_best_tau_by_ELBO,1.9110867977142334,,0.26223519444465637,7.297796083590007,1.406796016079526,-618.1488403320312,0.9,,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_10.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,11,GPArealModel,2.3905141353607178,,0.4413039479062196,2.875116902470945,3.5760628343494156,,,6.515049131357259,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_11.pt,,
