w_oracle,w_oracle_distorted,mu_W_vi,mu_W_vi_perm
-0.21250343,-0.32549477,-0.11517656,-0.116087355
-0.32549477,-0.21250343,-0.116087355,-0.11517656
0.9307823,0.9226532,0.19032522,-0.02843783
-0.11217499,-0.67990875,-0.1598601,-0.017482087
-0.58325577,0.9307823,-0.02843783,-0.15052894
-0.054466248,0.83167076,0.16583538,0.16583538
-0.06515694,-0.58325577,-0.15052894,-0.112822056
-0.67990875,-0.06515694,-0.112822056,-0.1598601
0.9226532,-0.054466248,0.023081912,0.19032522
0.83167076,-0.11217499,-0.017482087,0.023081912
-0.049655914,-0.46844482,-0.1265723,-0.089640915
-0.46844482,-0.049655914,-0.089640915,-0.1265723
-0.04550743,0.5325527,0.12690637,-0.038447365
0.09101486,-0.3148651,-0.11601761,0.02646321
0.2895279,-0.04550743,-0.038447365,0.094925255
0.74053,0.8627472,0.17594157,0.17594157
-0.6727867,0.2895279,0.094925255,-0.1548834
-0.3148651,-0.6727867,-0.1548834,-0.11601761
0.5325527,0.74053,-0.014272174,0.12690637
0.8627472,0.09101486,0.02646321,-0.014272174
-0.14507484,-0.3057251,0.027063137,-0.022591699
-0.3057251,-0.14507484,-0.022591699,0.027063137
-0.73344994,0.5837498,0.13672554,-0.17627531
-0.41259003,-0.10541153,0.07668031,-0.06842202
-0.515892,-0.73344994,-0.17627531,-0.14192839
0.67866135,0.69641876,0.16763872,0.16763872
-0.564579,-0.515892,-0.14192839,-0.11222091
-0.10541153,-0.564579,-0.11222091,0.07668031
0.5837498,0.67866135,0.16516104,0.13672554
0.69641876,-0.41259003,-0.06842202,0.16516104
0.54091835,0.13000488,-0.025293255,0.16955014
0.13000488,0.54091835,0.16955014,-0.025293255
0.17518616,-0.36271477,0.0037996178,0.073662154
0.60297585,0.3485775,0.107341975,0.13648313
0.46333313,0.17518616,0.073662154,0.15390173
0.5253639,0.41961288,0.12869415,0.12869415
0.25686646,0.46333313,0.15390173,0.097324714
0.3485775,0.25686646,0.097324714,0.107341975
-0.36271477,0.5253639,0.14161858,0.0037996178
0.41961288,0.60297585,0.13648313,0.14161858
-0.34417343,0.7738266,0.10999082,-0.02071777
0.7738266,-0.34417343,-0.02071777,0.10999082
0.45630646,-0.63594437,-0.100241505,0.074985266
0.8051586,-0.61231995,-0.08854239,0.094916865
-0.4116478,0.45630646,0.074985266,-0.032023255
-0.21554756,0.448452,0.03174043,0.03174043
-0.12972832,-0.4116478,-0.032023255,0.00044956966
-0.61231995,-0.12972832,0.00044956966,-0.08854239
-0.63594437,-0.21554756,-0.012758513,-0.100241505
0.448452,0.8051586,0.094916865,-0.012758513
-0.42992592,-0.3846321,-0.059429154,-0.05534108
-0.3846321,-0.42992592,-0.05534108,-0.059429154
0.15120125,-0.4660797,-0.1335273,-0.0060844007
0.7739353,0.794857,0.047397606,0.051879417
0.34356308,0.15120125,-0.0060844007,0.02336105
-0.08146477,-0.36034203,-0.12577726,-0.12577726
0.10731888,0.34356308,0.02336105,-0.02075785
0.794857,0.10731888,-0.02075785,0.047397606
-0.4660797,-0.08146477,-0.04245234,-0.1335273
-0.36034203,0.7739353,0.051879417,-0.04245234
-0.2996559,0.36719513,-0.020078588,-0.12085888
0.36719513,-0.2996559,-0.12085888,-0.020078588
-0.0039520264,-0.45213318,-0.17693985,-0.051428612
-0.3932762,-0.40847778,-0.117519304,-0.13629863
-0.33839798,-0.0039520264,-0.051428612,-0.11309553
-0.37516785,-0.4102955,-0.14857425,-0.14857425
-0.2905197,-0.33839798,-0.11309553,-0.084614605
-0.40847778,-0.2905197,-0.084614605,-0.117519304
-0.45213318,-0.37516785,-0.12141582,-0.17693985
-0.4102955,-0.3932762,-0.13629863,-0.12141582
