w_oracle,w_oracle_distorted,mu_W_vi,mu_W_vi_perm
0.50600433,0.535696,0.11779684,0.22813079
0.535696,0.50600433,0.22813079,0.11779684
0.14001656,0.66402626,0.17707095,0.16228619
0.35773468,0.3963585,0.1645893,0.21100308
0.06291008,0.14001656,0.16228619,0.12534116
0.22167206,0.19099045,0.13056313,0.13056313
0.540678,0.06291008,0.12534116,0.19136986
0.3963585,0.540678,0.19136986,0.1645893
0.66402626,0.22167206,0.1611662,0.17707095
0.19099045,0.35773468,0.21100308,0.1611662
0.47964287,0.2614956,0.02601666,0.1404502
0.2614956,0.47964287,0.1404502,0.02601666
0.006389618,-0.066308975,0.019250719,0.051664464
-0.31820107,0.47620964,0.12654796,0.021312172
0.015369415,0.006389618,0.051664464,0.08862471
0.056390762,0.0373497,0.0040969388,0.0040969388
-0.004053116,0.015369415,0.08862471,0.050956648
0.47620964,-0.004053116,0.050956648,0.12654796
-0.066308975,0.056390762,0.07598915,0.019250719
0.0373497,-0.31820107,0.021312172,0.07598915
-0.037960052,-0.035531998,0.057469577,0.040352978
-0.035531998,-0.037960052,0.040352978,0.057469577
-0.2025547,-0.4993534,-0.06660441,0.0060882
0.07747269,-0.6043072,-0.07180437,0.06385721
-0.2410183,-0.2025547,0.0060882,-0.028445447
0.094394684,0.087638855,0.052213784,0.052213784
-0.36994553,-0.2410183,-0.028445447,-0.0044855108
-0.6043072,-0.36994553,-0.0044855108,-0.07180437
-0.4993534,0.094394684,0.07140102,-0.06660441
0.087638855,0.07747269,0.06385721,0.07140102
-0.5967636,0.2143631,-0.05304323,-0.08704255
0.2143631,-0.5967636,-0.08704255,-0.05304323
0.07725525,0.003742218,-0.119230255,0.043774057
-0.53491974,0.14480019,-0.007608912,-0.04993377
0.29286385,0.07725525,0.043774057,0.012748721
0.05055237,-0.22510529,-0.039528098,-0.039528098
-0.7526684,0.29286385,0.012748721,-0.12964138
0.14480019,-0.7526684,-0.12964138,-0.007608912
0.003742218,0.05055237,-0.10339225,-0.119230255
-0.22510529,-0.53491974,-0.04993377,-0.10339225
-0.794857,-0.5894871,-0.12123222,-0.15342282
-0.5894871,-0.794857,-0.15342282,-0.12123222
-0.64043045,0.6238823,0.07910117,-0.16204472
-0.008651733,-0.15343666,-0.047294073,-0.07926719
-0.30858994,-0.64043045,-0.16204472,-0.065830454
0.18801117,-0.87812424,-0.16273563,-0.16273563
0.42892647,-0.30858994,-0.065830454,0.023248613
-0.15343666,0.42892647,0.023248613,-0.047294073
0.6238823,0.18801117,-0.023047494,0.07910117
-0.87812424,-0.008651733,-0.07926719,-0.023047494
-0.595829,-0.31098557,-0.08954308,-0.15237185
-0.31098557,-0.595829,-0.15237185,-0.08954308
0.7425823,-0.8567257,-0.17381375,0.11827563
-0.7575245,0.797781,0.15546134,-0.17165692
0.120191574,0.7425823,0.11827563,0.060613554
-0.12599945,-0.45197678,-0.12504007,-0.12504007
-0.68741417,0.120191574,0.060613554,-0.15340753
0.797781,-0.68741417,-0.15340753,0.15546134
-0.8567257,-0.12599945,-0.03202331,-0.17381375
-0.45197678,-0.7575245,-0.17165692,-0.03202331
-0.5520687,-0.39035797,-0.16395603,-0.15301129
-0.39035797,-0.5520687,-0.15301129,-0.16395603
-0.69631577,-0.0395298,-0.13771021,-0.15298295
0.13640022,0.6685486,0.16419555,0.10584249
-0.30061913,-0.69631577,-0.15298295,0.042118303
-0.36989403,0.007144928,-0.1496254,-0.1496254
1.0814819,-0.30061913,0.042118303,0.18768187
0.6685486,1.0814819,0.18768187,0.16419555
-0.0395298,-0.36989403,-0.15669785,-0.13771021
0.007144928,0.13640022,0.10584249,-0.15669785
0.35606003,-0.40929794,-0.14895175,0.1483559
-0.40929794,0.35606003,0.1483559,-0.14895175
1.2653809,1.232235,0.21493326,0.2179572
-0.22525406,0.9270954,0.19491445,-0.12970038
-0.34924698,1.2653809,0.2179572,-0.16047227
-0.2240448,0.3170929,0.12853159,0.12853159
-0.46592903,-0.34924698,-0.16047227,-0.15499032
0.9270954,-0.46592903,-0.15499032,0.19491445
1.232235,-0.2240448,-0.045521576,0.21493326
0.3170929,-0.22525406,-0.12970038,-0.045521576
